"Ticker","Nome","Negócios","Última (R$)","Variação"
"SUZB3","Suzano","46.567.200","46,43","-6,39%"
"B3SA3","B3","42.624.300","18,05","-2,06%"
"LREN3","Lojas Renner","38.131.800","14,80","+1,02%"
"PETR4","Petrobras","33.362.800","48,51","-0,88%"
"HAPV3","Hapvida","32.723.700","10,26","-3,93%"
"COGN3","Cogna","27.754.400","3,15","-2,48%"
"MRVE3","MRV","25.988.900","7,19","-9,45%"
"USIM5","Usiminas","25.978.900","6,93","+1,61%"
"BBDC4","Banco Bradesco","24.923.500","19,21","+0,68%"
"ITSA4","Itaúsa","23.591.500","13,95","+0,50%"
"BRAV3","3R Petroleum","21.495.100","21,29","+0,90%"
"CSAN3","Cosan","21.244.800","5,26","-0,19%"
"ITUB4","Itaú Unibanco","20.302.000","43,46","-0,07%"
"ABEV3","Ambev","18.339.600","15,48","+0,19%"
"BEEF3","Minerva","17.760.900","4,07","-4,91%"
"GGBR4","Gerdau","15.873.300","19,70","+0,41%"
"GMAT3","Grupo Mateus","15.737.300","4,49","-1,75%"
"VALE3","Vale","15.312.500","83,69","+0,72%"
"RADL3","RaiaDrogasil","14.851.600","22,28","+2,25%"
"RAIL3","Rumo","14.838.800","16,40","+2,95%"
"VAMO3","Grupo Vamos","14.828.700","3,54","-1,12%"
"CPLE3","Copel","14.750.000","15,80","-0,13%"
"ONCO3","Oncoclínicas","14.522.400","1,58","+10,49%"
"BBAS3","Banco do Brasil","13.760.900","23,44","+0,04%"
"ENEV3","Eneva","13.154.900","25,24","-1,10%"
"BRKM5","Braskem","12.878.000","9,01","+7,26%"
"ODPV3","Odontoprev","12.273.600","14,09","+2,62%"
"VBBR3","Vibra Energia","12.110.000","31,71","+1,34%"
"MGLU3","Magazine Luiza","12.038.500","8,78","-0,45%"
"ASAI3","Assaí","11.792.100","8,86","-0,67%"
"PETR3","Petrobras","11.500.200","53,56","-0,28%"
"KLBN4","Klabin","11.258.800","3,69","-3,40%"
"KLBN11","Klabin","10.903.800","18,46","-3,10%"
"AXIA3","Axia Energia","10.582.300","59,47","+0,88%"
"HYPE3","Hypera","10.426.900","23,21","+1,49%"
"UGPA3","Ultrapar","9.854.200","29,93","+2,15%"
"DIRR3","Direcional","9.814.500","12,81","-4,26%"
"RAIZ4","Raízen","9.690.800","0,52","-3,70%"
"PRIO3","PetroRio","9.611.600","67,82","+0,77%"
"CEAB3","C&A","9.549.400","11,82","-1,17%"
"CSNA3","Siderúrgica Nacional","8.722.900","6,36","-0,78%"
"JHSF3","JHSF","8.646.000","11,48","+6,79%"
"CVCB3","CVC","8.602.800","1,92","-2,54%"
"BBDC3","Banco Bradesco","8.549.700","16,68","+0,60%"
"CYRE3","Cyrela","8.283.600","25,68","-4,50%"
"ECOR3","EcoRodovias","8.258.500","8,94","-3,04%"
"CMIG4","Cemig","7.758.300","12,92","+0,86%"
"CMIN3","CSN Mineração","7.672.700","4,89","+0,20%"
"MBRF3","Marfrig","7.534.000","20,06","-2,19%"
"PLPL3","Plano&Plano","7.458.400","12,57","-6,47%"
"RCSL4","Recrusul","7.367.500","0,88","-10,20%"
"AUAU3","União Pet","7.169.000","3,52","-2,22%"
"NATU3","NATURA","7.135.600","10,23","-2,66%"
"YDUQ3","YDUQS","6.981.100","11,85","+0,68%"
"SMFT3","Smart Fit","6.733.300","18,69","-0,16%"
"MOVI3","Movida","6.546.400","12,07","+0,00%"
"POMO4","Marcopolo","6.538.400","6,19","-0,64%"
"AZTE3","AZT Energia","6.370.400","0,43","-6,52%"
"MDNE3","Moura Dubeux","6.227.800","30,09","-5,32%"
"EQTL3","Equatorial Energia","6.182.000","41,09","+1,56%"
"MOTV3","Motiva","6.176.200","16,01","-0,44%"
"BHIA3","Casas Bahia","5.800.500","2,72","-3,89%"
"RENT3","Localiza","5.667.600","47,15","+0,02%"
"SLCE3","SLC Agrícola","5.509.800","17,71","-3,65%"
"PGMN3","Pague Menos","5.102.300","5,63","-1,05%"
"AMBP3","Ambipar","5.076.300","0,23","-4,17%"
"SEQL3","Sequoia Logística","4.845.200","0,20","-9,09%"
"GOAU4","Metalúrgica Gerdau","4.705.100","8,82","+0,80%"
"BPAC11","Banco BTG Pactual","4.506.400","58,21","+0,87%"
"AZEV4","Azevedo & Travassos","4.385.300","0,13","-7,14%"
"AURE3","Auren Energia","4.360.300","12,55","+0,16%"
"SMTO3","São Martinho","4.253.700","18,90","-4,01%"
"CURY3","Cury","4.237.800","34,18","-5,13%"
"CXSE3","Caixa Seguridade","4.185.300","18,83","+0,27%"
"AZZA3","Arezzo","4.093.600","23,15","-3,54%"
"LIGT3","Light","4.037.000","5,80","+5,84%"
"WEGE3","WEG","3.983.500","50,65","+0,06%"
"INTB3","Intelbras","3.870.400","13,77","-0,65%"
"QUAL3","Qualicorp","3.815.900","2,02","-0,49%"
"RECV3","PetroRecôncavo","3.805.200","14,10","+1,51%"
"EMBJ3","Embraer","3.758.800","81,59","-0,10%"
"MULT3","Multiplan","3.705.800","31,96","+0,60%"
"ALOS3","Allos","3.699.100","30,53","+0,20%"
"RAPT4","Randon","3.650.600","5,11","-0,78%"
"ANIM3","Ânima Educação","3.555.200","4,42","-0,67%"
"BBSE3","BB Seguridade","3.396.700","35,47","+0,08%"
"SIMH3","Simpar","3.367.400","11,37","+0,71%"
"LJQQ3","Lojas Quero-Quero","3.144.800","1,99","-1,00%"
"PCAR3","Grupo Pão de Açúcar","3.084.800","2,01","-5,19%"
"VIVT3","Vivo","3.029.300","40,98","+0,66%"
"TAEE11","Taesa","2.872.400","42,87","-0,16%"
"RDOR3","Rede D'Or","2.871.000","39,92","+0,48%"
"TEND3","Construtora Tenda","2.861.500","29,55","-6,07%"
"TIMS3","TIM","2.850.200","27,10","+1,42%"
"VIVA3","Vivara","2.838.500","25,80","-0,88%"
"GRND3","Grendene","2.723.500","4,62","-0,43%"
"ENGI11","Energisa","2.653.500","53,81","+1,51%"
"CSMG3","COPASA","2.647.700","57,63","+0,23%"
"AXIA7","Axia Energia","2.531.700","57,35","+0,63%"
"LWSA3","Locaweb","2.458.300","3,82","+1,33%"
"SAPR11","Sanepar","2.439.700","45,26","-0,55%"
