book,priority,cap,ticker,target_pct,stop_pct,time_cap_days,trades,active_months,take_profit_rate_pct,test_take_profit_rate_pct,profitable_rate_pct,test_profitable_rate_pct,average_trade_return_pct,test_average_trade_return_pct,profit_factor,test_profit_factor,score,strategy_code,strategy_label,entry_rule,trade_direction,state_signature,feature_keys,first_trade_date,last_trade_date
daytrade-principal,6,1D,ASAI3,2.0,4.0,1,12,6,91.66666666666666,100.0,91.66666666666666,100.0,1.5,2.0,5.5000,INF,734.4667833017143,asset_long_open_tp2_sl4_cap1__3f__range_position_20d=near_high__rsi_14=neutral_high__close_vs_ema21=up_5_10,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Posicao no range 20D: fechou perto da maxima; RSI 14 periodos: RSI neutro alto; Fechamento vs EMA21: acima forte",open,long,Posicao no range 20D: fechou perto da maxima; RSI 14 periodos: RSI neutro alto; Fechamento vs EMA21: acima forte,"range_position_20d,rsi_14,close_vs_ema21",2025-08-13,2026-04-09
daytrade-principal,1,1D,AZZA3,2.0,4.0,1,14,6,92.85714285714286,100.0,92.85714285714286,100.0,1.5714285714285714,2.0,6.5000,INF,733.1625307789325,asset_long_open_tp2_sl4_cap1__3f__prev_ret_1d=up_1_3__sma20_vs_sma50=dn_5_10__sma20_slope_5d=dn_1_5,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Retorno acumulado 1D: alta de 1% a 3%; MM20 vs MM50: abaixo forte; Inclinacao da MM20 em 5D: abaixo leve",open,long,Retorno acumulado 1D: alta de 1% a 3%; MM20 vs MM50: abaixo forte; Inclinacao da MM20 em 5D: abaixo leve,"prev_ret_1d,sma20_vs_sma50,sma20_slope_5d",2025-07-23,2026-05-05
daytrade-principal,14,1D,B3SA3,2.0,4.0,1,8,5,100.0,100.0,100.0,100.0,2.0,2.0,INF,INF,785.7247198959356,asset_long_open_tp2_sl4_cap1__3f__prev_ret_1d=up_3_5__range_position_5d=near_high__positive_days_10d=strong,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Retorno acumulado 1D: alta de 3% a 5%; Posicao no range 5D: fechou perto da maxima; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D",open,long,Retorno acumulado 1D: alta de 3% a 5%; Posicao no range 5D: fechou perto da maxima; Dias positivos nos ultimos 10 pregoes: 6 a 7 dias positivos em 10D,"prev_ret_1d,range_position_5d,positive_days_10d",2025-06-27,2026-03-03
daytrade-principal,10,1D,BEEF3,2.0,4.0,1,10,4,90.0,100.0,100.0,100.0,1.90309,2.0,INF,INF,751.1704133333334,asset_long_open_tp2_sl4_cap1__3f__sma50_slope_10d=dn_5_10__range_position_20d=middle__drawdown_5d=dd_1_3,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Inclinacao da MM50 em 10D: abaixo forte; Posicao no range 20D: fechou no meio; Queda desde maxima 5D: 1% a 3% abaixo da maxima",open,long,Inclinacao da MM50 em 10D: abaixo forte; Posicao no range 20D: fechou no meio; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"sma50_slope_10d,range_position_20d,drawdown_5d",2025-06-27,2026-05-11
daytrade-principal,2,1D,BRKM5,2.0,4.0,1,14,7,92.85714285714286,100.0,92.85714285714286,100.0,1.8571428571428572,2.0,INF,INF,790.669024285426,asset_long_open_tp2_sl4_cap1__2f__close_vs_sma50=far_dn__day_of_week=tue,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Fechamento vs MM50: muito abaixo; Dia da semana: terca-feira",open,long,Fechamento vs MM50: muito abaixo; Dia da semana: terca-feira,"close_vs_sma50,day_of_week",2025-07-01,2026-04-28
daytrade-principal,11,1D,CEAB3,2.0,4.0,1,10,5,90.0,100.0,100.0,100.0,1.9110500000000001,2.0,INF,INF,771.4326,asset_long_open_tp2_sl4_cap1__3f__gap_pct=up_1_3__bb_position_20=middle__close_vs_ema9=up_1_5,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Gap da abertura: alta de 1% a 3%; Posicao nas Bandas de Bollinger 20D: fechou no meio; Fechamento vs EMA9: acima leve",open,long,Gap da abertura: alta de 1% a 3%; Posicao nas Bandas de Bollinger 20D: fechou no meio; Fechamento vs EMA9: acima leve,"gap_pct,bb_position_20,close_vs_ema9",2025-08-04,2026-05-08
daytrade-principal,4,1D,COGN3,2.0,4.0,1,13,9,92.3076923076923,100.0,92.3076923076923,100.0,1.5384615384615385,2.0,6.0000,INF,754.2891691960771,asset_long_open_tp2_sl4_cap1__3f__prev_ret_5d=up_3_5__drawdown_5d=dd_1_3__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Retorno acumulado 5D: alta de 3% a 5%; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Retorno 5D normalizado por ATR: levemente acima",open,long,Retorno acumulado 5D: alta de 3% a 5%; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Retorno 5D normalizado por ATR: levemente acima,"prev_ret_5d,drawdown_5d,atr_return_5d",2025-06-03,2026-04-15
daytrade-principal,15,1D,CSAN3,2.0,4.0,1,8,4,100.0,100.0,100.0,100.0,2.0,2.0,INF,INF,785.2247198959356,asset_long_open_tp2_sl4_cap1__3f__sma50_slope_10d=dn_1_5__compression_3v20=very_low__drawdown_10d=dd_10_15,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Inclinacao da MM50 em 10D: abaixo leve; Compressao 3D vs 20D: muito baixo; Queda desde maxima 10D: 10% a 15% abaixo da maxima",open,long,Inclinacao da MM50 em 10D: abaixo leve; Compressao 3D vs 20D: muito baixo; Queda desde maxima 10D: 10% a 15% abaixo da maxima,"sma50_slope_10d,compression_3v20,drawdown_10d",2025-07-15,2026-04-28
daytrade-principal,7,1D,CSMG3,2.0,4.0,1,12,6,100.0,100.0,100.0,100.0,2.0,2.0,INF,INF,793.633449968381,asset_long_open_tp2_sl4_cap1__3f__prev_ret_20d=shock_up__compression_3v20=very_high__positive_days_5d=strong,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Retorno acumulado 20D: choque de alta; Compressao 3D vs 20D: muito alto; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D",open,long,Retorno acumulado 20D: choque de alta; Compressao 3D vs 20D: muito alto; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D,"prev_ret_20d,compression_3v20,positive_days_5d",2025-05-19,2026-02-03
daytrade-principal,16,1D,CYRE3,2.0,4.0,1,8,6,100.0,100.0,100.0,100.0,2.0,2.0,INF,INF,794.7631814343971,asset_long_open_tp2_sl4_cap1__3f__range_position_5d=lower_band__drawdown_5d=dd_6_10__atr_return_5d=rel_soft_dn,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Posicao no range 5D: fechou na metade inferior; Queda desde maxima 5D: 6% a 10% abaixo da maxima; Retorno 5D normalizado por ATR: levemente abaixo",open,long,Posicao no range 5D: fechou na metade inferior; Queda desde maxima 5D: 6% a 10% abaixo da maxima; Retorno 5D normalizado por ATR: levemente abaixo,"range_position_5d,drawdown_5d,atr_return_5d",2025-05-23,2026-05-15
daytrade-principal,3,1D,HAPV3,2.0,4.0,1,14,5,92.85714285714286,100.0,92.85714285714286,100.0,1.5714285714285714,2.0,6.5000,INF,758.5261671425689,asset_long_open_tp2_sl4_cap1__3f__prev_ret_10d=shock_dn__sma20_vs_sma50=far_dn__positive_days_5d=weak,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Retorno acumulado 10D: choque de baixa; MM20 vs MM50: muito abaixo; Dias positivos nos ultimos 5 pregoes: 0 a 1 dia positivo em 5D",open,long,Retorno acumulado 10D: choque de baixa; MM20 vs MM50: muito abaixo; Dias positivos nos ultimos 5 pregoes: 0 a 1 dia positivo em 5D,"prev_ret_10d,sma20_vs_sma50,positive_days_5d",2025-11-28,2026-03-19
daytrade-principal,12,1D,MBRF3,2.0,4.0,1,10,4,90.0,100.0,90.0,100.0,1.4,2.0,4.5000,INF,726.3,asset_long_open_tp2_sl4_cap1__3f__gap_pct=flat__prev_ret_3d=shock_up__range_position_5d=near_high,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | Gap da abertura: neutro; Retorno acumulado 3D: choque de alta; Posicao no range 5D: fechou perto da maxima",open,long,Gap da abertura: neutro; Retorno acumulado 3D: choque de alta; Posicao no range 5D: fechou perto da maxima,"gap_pct,prev_ret_3d,range_position_5d",2025-11-12,2026-03-30
daytrade-principal,5,1D,MGLU3,2.0,4.0,1,13,5,92.3076923076923,100.0,92.3076923076923,100.0,1.5384615384615385,2.0,6.0000,INF,739.4596237415316,asset_long_open_tp2_sl4_cap1__3f__sma5_vs_sma20=dn_5_10__rsi_14=neutral_low__day_of_week=tue,"Discovery Acao: compra no open, alvo +2% / stop -4% / cap 1D | MM5 vs MM20: abaixo forte; RSI 14 periodos: RSI neutro baixo; Dia da semana: terca-feira",open,long,MM5 vs MM20: abaixo forte; RSI 14 periodos: RSI neutro baixo; Dia da semana: terca-feira,"sma5_vs_sma20,rsi_14,day_of_week",2025-08-05,2026-03-31
