strategy_code,ticker,trigger_date,exit_date,entry_price,exit_price,trade_return_pct,exit_reason
asset_long_close_tp1_1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,SUZB3,2026-04-10,2026-04-13,47.1600,47.6788,1.1000,take_profit
asset_long_close_tp1_1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,TOTS3,2026-04-10,2026-04-13,33.8400,34.2122,1.1000,take_profit
asset_long_close_tp1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,SUZB3,2026-04-10,2026-04-13,47.1600,47.6316,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__positive_days_10d=neutral__bb_position_20=near_low__day_of_week=fri,TOTS3,2026-04-10,2026-04-13,33.8400,34.1784,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,AXIA3,2026-04-02,2026-04-08,59.2800,59.8728,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,AXIA6,2026-04-02,2026-04-08,65.1200,65.7712,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,AXIA7,2026-04-02,2026-04-08,57.3300,57.9033,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,BRAP4,2026-04-02,2026-04-07,23.3800,23.6138,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,CSMG3,2026-04-02,2026-04-08,57.9500,58.5295,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,FLRY3,2026-04-02,2026-04-08,15.8800,16.0388,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,HYPE3,2026-04-02,2026-04-08,22.9900,23.2199,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,ISAE4,2026-04-02,2026-04-08,28.8300,29.1183,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,SANB11,2026-04-02,2026-04-08,31.2300,31.5423,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,TAEE11,2026-04-02,2026-04-06,42.8300,43.2583,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,USIM5,2026-04-02,2026-04-06,6.7700,6.8377,1.0000,take_profit
asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,VBBR3,2026-04-02,2026-04-06,31.4900,31.8049,1.0000,take_profit
