ticker,trade_date,entry_rule,strategy_code,take_profit_pct,stop_loss_pct,time_cap_days,entry_price_reference,success_rate_pct,take_profit_rate_pct,average_trade_return_pct,profit_factor,total_occurrences,tickers_with_matches,feature_keys,matched_states
VIVA3,2026-04-22,open,asset_long_open_tp1_1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__atr_return_5d=rel_soft_up,1.1000,4.0000,5,27.4000,90.6863,90.6863,0.6884,3.2268,204,64,"sma20_vs_sma50,range_position_10d,atr_return_5d",MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Retorno 5D normalizado por ATR: levemente acima
VIVA3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__atr_return_5d=rel_soft_up,1.0000,4.0000,5,27.4000,91.6667,91.6667,0.6467,3.3959,204,64,"sma20_vs_sma50,range_position_10d,atr_return_5d",MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Retorno 5D normalizado por ATR: levemente acima
VIVA3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band,1.0000,4.0000,5,27.4000,90.4110,90.4110,0.6289,3.2856,219,62,"prev_ret_5d,sma20_vs_sma50,range_position_10d",Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior
VIVA3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__prev_ret_2d=flat__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5,1.0000,4.0000,5,27.4000,90.8333,90.8333,0.6236,3.2314,240,71,"prev_ret_2d,prev_ret_5d,sma20_vs_sma50",Retorno acumulado 2D: neutro; Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve
VIVA3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__prev_ret_1d=flat__sma20_vs_sma50=dn_1_5__atr_return_5d=rel_soft_up,1.0000,4.0000,5,27.4000,90.3704,90.3704,0.5859,2.8597,270,70,"prev_ret_1d,sma20_vs_sma50,atr_return_5d",Retorno acumulado 1D: neutro; MM20 vs MM50: abaixo leve; Retorno 5D normalizado por ATR: levemente acima
VIVA3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__range_position_10d=upper_band__positive_days_5d=soft_strong,1.0000,4.0000,5,27.4000,90.5199,90.5199,0.5802,2.7950,327,75,"sma20_vs_sma50,range_position_10d,positive_days_5d",MM20 vs MM50: abaixo leve; Posicao no range 10D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D
VIVA3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__atr_return_1d=rel_near__atr_return_5d=rel_soft_up,1.0000,4.0000,5,27.4000,90.0433,90.0433,0.5570,2.6218,231,67,"sma20_vs_sma50,atr_return_1d,atr_return_5d",MM20 vs MM50: abaixo leve; Retorno 1D normalizado por ATR: perto do normal; Retorno 5D normalizado por ATR: levemente acima
TOTS3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__prev_ret_2d=flat__prev_ret_5d=up_1_3__sma20_vs_sma50=dn_1_5,1.0000,4.0000,5,34.6700,90.8333,90.8333,0.6236,3.2314,240,71,"prev_ret_2d,prev_ret_5d,sma20_vs_sma50",Retorno acumulado 2D: neutro; Retorno acumulado 5D: alta de 1% a 3%; MM20 vs MM50: abaixo leve
CYRE3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__prev_ret_3d=flat__compression_3v20=very_low__drawdown_10d=dd_1_3,1.0000,4.0000,5,27.5200,90.4167,90.4167,0.5924,2.8999,240,71,"prev_ret_3d,compression_3v20,drawdown_10d",Retorno acumulado 3D: neutro; Compressao 3D vs 20D: muito baixo; Queda desde maxima 10D: 1% a 3% abaixo da maxima
MOTV3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_10d=upper_band__positive_days_5d=soft_strong,1.0000,4.0000,5,17.2700,91.5423,91.5423,0.5924,2.8341,201,73,"gap_vs_atr14,range_position_10d,positive_days_5d",Gap vs ATR14: levemente abaixo; Posicao no range 10D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D
RDOR3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__intraday_return_prev=flat__drawdown_10d=dd_6_10__atr_return_1d=rel_soft_dn,1.0000,4.0000,5,39.2000,90.4564,90.4564,0.5888,2.8836,241,72,"intraday_return_prev,drawdown_10d,atr_return_1d",Retorno intraday do candle de referencia: neutro; Queda desde maxima 10D: 6% a 10% abaixo da maxima; Retorno 1D normalizado por ATR: levemente abaixo
GOAU4,2026-04-22,close,asset_long_close_tp1_sl4_cap5__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__drawdown_10d=dd_1_3,1.0000,4.0000,5,9.5400,90.5303,90.5303,0.5831,2.8136,264,77,"prev_ret_1d,intraday_return_prev,drawdown_10d",Retorno acumulado 1D: neutro; Retorno intraday do candle de referencia: alta de 1% a 3%; Queda desde maxima 10D: 1% a 3% abaixo da maxima
ALOS3,2026-04-22,open,asset_long_open_tp1_sl4_cap5__3f__prev_ret_5d=up_1_3__sma50_slope_10d=up_1_5__atr_return_1d=rel_soft_dn,1.0000,4.0000,5,33.4800,90.0000,90.0000,0.5766,2.7832,220,66,"prev_ret_5d,sma50_slope_10d,atr_return_1d",Retorno acumulado 5D: alta de 1% a 3%; Inclinacao da MM50 em 10D: acima leve; Retorno 1D normalizado por ATR: levemente abaixo
